State,Number of CoCs,TotalHomeless2010,"Sheltered Homeless, 2010","Unsheltered Homeless, 2010","Homeless Individuals, 2010","Sheltered Homeless Individuals, 2010","Unsheltered Homeless Individuals, 2010","Homeless People in Families, 2010","Sheltered Homeless People in Families, 2010","Unsheltered Homeless People in Families, 2010","Chronically Homeless Individuals, 2010","Sheltered Chronically Homeless Individuals, 2010","Unsheltered Chronically Homeless Individuals, 2010","Homeless Veterans, 2010","Sheltered Homeless Veterans, 2010","Unsheltered Homeless Veterans, 2010"
AK,2,1863,1671,192,1118,953,165,745,718,27,164,119,45,300,270,30
AL,8,6046,3891,2155,4553,2857,1696,1493,1034,459,1043,502,541,1089,911,178
AR,5,2762,1728,1034,2120,1312,808,642,416,226,395,145,250,362,247,115
AZ,3,13711,7214,6497,9226,3366,5860,4485,3848,637,1935,544,1391,2230,1052,1178
CA,43,123480,50899,72581,96940,32302,64638,26540,18597,7943,31235,6964,24271,17604,6600,11004
CO,3,15482,9031,6451,7574,4576,2998,7908,4455,3453,1432,510,922,1316,853,463
CT,10,4316,3817,499,2993,2511,482,1323,1306,17,777,595,182,483,423,60
DC,1,6539,6109,430,4016,3586,430,2523,2523,0,2110,1723,387,579,563,16
DE,1,982,930,52,681,629,52,301,301,0,97,71,26,74,69,5
FL,28,57551,21817,35734,35738,13231,22507,21813,8586,13227,9232,3700,5532,7794,2818,4976
GA,7,19836,8746,11090,14377,5612,8765,5459,3134,2325,3635,1495,2140,2766,1372,1394
GU,1,1635,182,1453,534,37,497,1101,145,956,28,1,27,27,5,22
HI,2,5834,3535,2299,2889,944,1945,2945,2591,354,801,96,705,419,176,243
IA,3,3014,2903,111,1528,1426,102,1486,1477,9,249,182,67,221,207,14
ID,2,2346,1564,782,1445,831,614,901,733,168,111,37,74,239,128,111
IL,21,14395,12208,2187,7568,5767,1801,6827,6441,386,2130,1435,695,1133,886,247
IN,3,6452,5233,1219,3588,2736,852,2864,2497,367,775,478,297,767,633,134
KS,5,2024,1828,196,1318,1166,152,706,662,44,191,149,42,711,660,51
KY,3,6623,5599,1024,4125,3261,864,2498,2338,160,695,404,291,619,534,85
LA,9,12482,4096,8386,10101,2390,7711,2381,1706,675,4815,226,4589,2015,502,1513
MA,20,16646,15595,1051,6403,5483,920,10243,10112,131,2007,1502,505,1597,1449,148
MD,16,10845,6515,4330,5999,3902,2097,4846,2613,2233,2179,1231,948,910,646,264
ME,3,2379,2351,28,1061,1033,28,1318,1318,0,226,221,5,108,105,3
MI,21,13058,10219,2839,7365,5371,1994,5693,4848,845,1824,1309,515,964,785,179
MN,11,7869,6730,1139,3605,2934,671,4264,3796,468,1490,1149,341,644,553,91
MO,8,8122,6336,1786,4427,3290,1137,3695,3046,649,1287,977,310,759,629,130
MS,3,2743,1181,1562,1924,661,1263,819,520,299,357,130,227,339,215,124
MT,1,1615,1168,447,890,562,328,725,606,119,145,96,49,262,156,106
NC,12,12191,9173,3018,8361,5892,2469,3830,3281,549,1479,1077,402,1084,907,177
ND,1,799,768,31,539,513,26,260,255,5,64,61,3,119,114,5
NE,7,3877,3355,522,2423,2018,405,1454,1337,117,535,416,119,305,243,62
NH,3,1574,1337,237,943,740,203,631,597,34,326,280,46,173,143,30
NJ,20,13737,12083,1654,6520,5271,1249,7217,6812,405,877,617,260,567,488,79
NM,2,3475,2108,1367,2343,1102,1241,1132,1006,126,779,341,438,441,259,182
NV,3,11205,7848,3357,9565,6233,3332,1640,1615,25,1415,253,1162,1843,1230,613
NY,32,65606,61467,4139,26293,22292,4001,39313,39175,138,4259,1905,2354,5857,5046,811
OH,9,12569,10729,1840,7719,6295,1424,4850,4434,416,2240,1676,564,1527,1293,234
OK,8,5229,3315,1914,3317,2239,1078,1912,1076,836,620,395,225,474,350,124
OR,8,19492,7231,12261,10731,3654,7077,8761,3577,5184,2601,683,1918,1285,573,712
PA,17,14516,13418,1098,7191,6125,1066,7325,7293,32,1524,868,656,1441,1274,167
PR,2,4149,1404,2745,3721,1124,2597,428,280,148,2218,684,1534,106,33,73
RI,1,1282,1206,76,704,632,72,578,574,4,86,60,26,91,87,4
SC,4,4473,3036,1437,3194,1945,1249,1279,1091,188,674,392,282,687,497,190
SD,1,731,667,64,445,381,64,286,286,0,109,45,64,135,118,17
TN,10,10276,6999,3277,7623,5060,2563,2653,1939,714,2495,1496,999,1679,1075,604
TX,17,35121,19191,15930,24078,11249,12829,11043,7942,3101,6512,2577,3935,5133,2688,2445
UT,3,3284,2722,562,1926,1393,533,1358,1329,29,406,125,281,342,301,41
VA,22,9080,7439,1641,5338,3966,1372,3742,3473,269,1510,983,527,995,830,165
VI,1,487,92,395,468,73,395,19,19,0,385,20,365,42,10,32
VT,2,1220,1078,142,797,672,125,423,406,17,133,85,48,117,104,13
WA,7,22878,16489,6389,11901,6705,5196,10977,9784,1193,2106,1281,825,2043,1282,761
WI,4,6333,5253,1080,3040,2598,442,3293,2655,638,727,608,119,609,581,28
WV,4,2264,1524,740,1527,1048,479,737,476,261,516,358,158,576,393,183
WY,1,579,515,64,327,269,58,252,246,6,101,52,49,85,71,14
